OrderId Weight Area Time Delivery
1,7.2,Moscow,2024-10-20 15:30:00
2,5.5,St. Petersburg,2024-10-21 08:15:00
3,3.1,Nizhny Novgorod,2024-10-22 12:00:00
4,8.0,Kazan,2024-10-23 18:45:00
5,6.7,Moscow,2024-10-24 09:20:00
6,2.5,Novosibirsk,2024-10-20 13:00:00
7,9.0,Samara,2024-10-25 17:35:00
8,1.4,Vladivostok,2024-10-26 14:10:00
9,4.8,Krasnodar,2024-10-27 11:50:00
10,7.9,Sochi,2024-10-28 19:15:00
11,6.2,Rostov-on-Don,2024-10-20 16:40:00
12,3.7,Volgograd,2024-10-21 09:25:00
13,2.3,Ufa,2024-10-22 14:30:00
14,4.1,Chelyabinsk,2024-10-23 12:10:00
15,5.9,Sochi,2024-10-24 18:55:00
16,8.5,Saratov,2024-10-25 10:45:00
17,9.3,Moscow,2024-10-26 20:05:00
18,1.6,Togliatti,2024-10-27 15:25:00
19,4.7,Omsk,2024-10-28 13:50:00
20,2.4,Izhevsk,2024-10-20 17:10:00
21,3.2,Tyumen,2024-10-21 08:30:00
22,6.4,Kazan,2024-10-22 09:45:00
23,7.1,Yaroslavl,2024-10-23 16:20:00
24,5.8,Vladimir,2024-10-24 18:30:00
25,4.9,Kaliningrad,2024-10-25 14:35:00
26,3.0,Tula,2024-10-26 08:40:00
27,8.2,Voronezh,2024-10-27 12:20:00
28,7.4,Irkutsk,2024-10-28 19:55:00
29,5.7,Barnaul,2024-10-20 13:10:00
30,6.8,Ulyanovsk,2024-10-21 11:05:00
31,9.4,Bryansk,2024-10-22 17:15:00
32,2.1,Kirov,2024-10-23 15:00:00
33,3.6,Moscow,2024-10-24 09:50:00
34,4.2,Novokuznetsk,2024-10-25 20:30:00
35,1.9,Magnitogorsk,2024-10-26 14:45:00
36,8.3,Chita,2024-10-27 18:05:00
37,7.6,Arkhangelsk,2024-10-28 13:25:00
38,5.3,Kostroma,2024-10-20 10:55:00
39,6.1,Murmansk,2024-10-21 15:40:00
40,9.7,Kazan,2024-10-22 12:50:00
41,2.8,Petrozavodsk,2024-10-23 08:30:00
42,3.3,Vologda,2024-10-24 14:20:00
43,7.0,Pskov,2024-10-25 09:35:00
44,5.1,Smolensk,2024-10-26 19:05:00
45,8.7,Kursk,2024-10-27 16:50:00
46,4.6,Belgorod,2024-10-28 18:15:00
47,6.3,Tver,2024-10-20 20:40:00
48,9.5,Sevastopol,2024-10-21 11:25:00
49,3.9,Kazan,2024-10-28 12:00:00
50,5.0,Sochi,2024-10-28 17:30:00
